,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
111,112,93.53,2008,Action,Konami Digital Entertainment,Metal Gear Solid 4: Guns of the Patriots,2.585,1.665,0.83,0.8049999999999999,5.890000000000001
112,113,93.75,1998,Action,Konami Digital Entertainment,Metal Gear Solid,3.18,1.83,0.78,0.24,6.03
113,114,90.77,2006,Role-Playing,Square Enix,Final Fantasy XII,1.88,0.595,2.33,1.1400000000000001,5.95
114,115,91.0,2008,Platform,Sony Computer Entertainment,LittleBigPlanet,2.7,1.83,0.17,0.8400000000000001,5.535
115,116,87.98,2009,Role-Playing,Nintendo,Dragon Quest IX: Sentinels of the Starry Skies,0.6000000000000001,0.6599999999999999,4.35,0.15,5.755
116,117,83.0,2007,Action,LucasArts,LEGO Star Wars: The Complete Saga,3.455,1.48,0.0,0.505,5.445
117,118,93.13,1998,Action,Virgin Interactive,Resident Evil 2,1.88,1.47,2.02,0.45,5.82
118,119,86.0,1996,Fighting,Sony Computer Entertainment,Tekken 2,2.26,1.89,1.36,0.23,5.74
119,120,67.67,2006,Simulation,505 Games,Cooking Mama,3.0300000000000002,1.91,0.07,0.575,5.59
120,121,86.0,1988,Puzzle,Nintendo,Tetris,2.97,0.69,1.81,0.11,5.58
121,122,90.71,2009,Action,Ubisoft,Assassin's Creed II,2.42,1.97,0.21,0.865,5.465
122,123,89.0,1999,Fighting,Nintendo,Super Smash Bros.,2.95,0.6,1.97,0.04,5.55
123,124,82.92,2007,Adventure,Ubisoft,Assassin's Creed,3.19,1.6099999999999999,0.07,0.54,5.41
124,125,90.43,2011,Action,Warner Bros. Interactive Entertainment,Batman: Arkham City,2.355,1.68,0.1,0.7250000000000001,4.87
125,126,92.26,2009,Racing,Microsoft Game Studios,Forza Motorsport 3,2.9400000000000004,1.875,0.1,0.52,5.43
126,127,82.12,2008,Role-Playing,Capcom,Monster Hunter Freedom Unite,0.45499999999999996,0.53,4.13,0.325,5.425
127,128,82.0,2001,Platform,Nintendo,Super Mario Advance,3.14,1.24,0.91,0.2,5.49
128,129,83.0,2001,Racing,Nintendo,Mario Kart: Super Circuit,2.62,1.64,0.99,0.23,5.47
129,130,85.04,2008,Shooter,Activision,Call of Duty: World at War,2.615,1.79,0.0,0.8049999999999999,5.21
130,131,70.12,2001,Platform,Universal Interactive,Crash Bandicoot: The Wrath of Cortex,2.07,2.29,0.24,0.82,5.42
131,132,84.15,2009,Role-Playing,Square Enix,Final Fantasy XIII,1.655,1.145,1.87,0.485,5.15
132,133,77.0,1989,Puzzle,Nintendo,Dr. Mario,2.18,0.96,2.0,0.2,5.34
133,134,84.81,2012,Action,Ubisoft,Assassin's Creed III,2.8049999999999997,1.49,0.025,0.425,4.74
134,135,83.0,2000,Role-Playing,SquareSoft,Final Fantasy IX,1.62,0.77,2.78,0.14,5.3
135,136,86.25,2003,Role-Playing,Electronic Arts,Final Fantasy X-2,1.92,1.08,2.11,0.17,5.29
136,137,88.0,1999,Platform,Nintendo,Donkey Kong 64,3.33,0.79,1.09,0.06,5.27
137,138,90.01,2009,Action,Ubisoft,Assassin's Creed II,2.9850000000000003,1.58,0.08,0.515,5.175
138,139,89.0,2007,Puzzle,Nintendo,Professor Layton and the Curious Village,1.2,2.41,1.03,0.515,5.16
139,140,82.71,1997,Action,Eidos Interactive,Tomb Raider II,2.3,2.46,0.2,0.28,5.24
